"cep","geo","id_bairro","bairro","distrito","regional"
"88048007","-27.647008072657673, -48.518547903621105","13940","COSTEIRA DO PIRAJUBAÉ","CENTRO","SUL"
"88048010","-27.6488507419425, -48.52040563328414","13958","RIO TAVARES","CAMPECHE","SUL"
"88048026","-27.6498498839509, -48.51832547038306","13940","COSTEIRA DO PIRAJUBAÉ","CENTRO","SUL"
"88048030","-27.6511149, -48.5174322","13940","COSTEIRA DO PIRAJUBAÉ","CENTRO","SUL"
"88048032","-27.653242375563682, -48.51397862727886","13940","COSTEIRA DO PIRAJUBAÉ","CENTRO","SUL"
"88048033","-27.65372901203313, -48.51447402115444","13940","COSTEIRA DO PIRAJUBAÉ","CENTRO","SUL"
"88048035","-27.6516635, -48.5168830","13940","COSTEIRA DO PIRAJUBAÉ","CENTRO","SUL"
"88048070","-27.652899700873018, -48.51701356789258","13958","RIO TAVARES","CAMPECHE","SUL"
"88048090","-27.6540858, -48.5141304","13940","COSTEIRA DO PIRAJUBAÉ","CENTRO","SUL"
"88048100","-27.6545874, -48.5122516","13958","RIO TAVARES","CAMPECHE","SUL"
"88048137","-27.652899700873019, -48.51701356789259","13958","RIO TAVARES","CAMPECHE","SUL"
"88048139","-27.652899700873020, -48.51701356789260","13958","RIO TAVARES","CAMPECHE","SUL"
"88048142","-27.652899700873021, -48.51701356789261","13958","RIO TAVARES","CAMPECHE","SUL"
"88048147","-27.65744987013779, -48.505629658254456","13958","RIO TAVARES","CAMPECHE","SUL"
"88048155","-27.652899700873022, -48.51701356789262","13958","RIO TAVARES","CAMPECHE","SUL"
"88048156","-27.6493381, -48.4781769","13958","RIO TAVARES","CAMPECHE","SUL"
"88048220","-27.658890825014637, -48.50343025568029","13958","RIO TAVARES","CAMPECHE","SUL"
"88048280","-27.658907834512185, -48.50240382172627","13958","RIO TAVARES","CAMPECHE","SUL"
"88048300","-27.6533951, -48.4800109","13958","RIO TAVARES","CAMPECHE","SUL"
"88048301","-27.6534073, -48.4800239","13958","RIO TAVARES","CAMPECHE","SUL"
"88048302","-27.658890825014638, -48.50343025568030","13958","RIO TAVARES","CAMPECHE","SUL"
"88048303","-27.661935334816228, -48.49720084348277","13958","RIO TAVARES","CAMPECHE","SUL"
